unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12304096,JE155481,2021-02-28 10:45:00.000000 UTC,0000X E WACKER DR,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL / MOTEL,false,false,111,1,42,32,02,1177009.0,1902589.0,2021,2021-03-07 03:40:40.000000 UTC,41.888045958,-87.625413826,"(41.888045958, -87.625413826)"
7626942,HS428375,2010-07-25 04:00:00.000000 UTC,005XX W MADISON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,STREET,false,false,111,1,42,28,02,1173039.0,1900311.0,2010,2018-02-10 03:50:01.000000 UTC,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
8705929,HV357473,2012-06-27 05:00:00.000000 UTC,002XX N MICHIGAN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,false,false,111,1,42,32,02,1177257.0,1901911.0,2012,2018-02-10 03:50:01.000000 UTC,41.886179873,-87.624523664,"(41.886179873, -87.624523664)"
6121243,HP213832,2008-03-08 02:30:00.000000 UTC,006XX W MADISON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,111,1,42,28,02,1172208.0,1900286.0,2008,2018-02-28 03:56:25.000000 UTC,41.881833712,-87.643112572,"(41.881833712, -87.643112572)"
11814619,JC416818,2019-09-02 03:51:00.000000 UTC,0000X E LAKE ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,CONVENIENCE STORE,false,false,111,1,42,32,03,1176905.0,1901744.0,2019,2019-09-09 03:43:08.000000 UTC,41.885729587,-87.625821329,"(41.885729587, -87.625821329)"
9961255,HY149571,2015-02-12 07:15:00.000000 UTC,0000X E LAKE ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,111,1,42,32,03,1176585.0,1901750.0,2015,2018-02-10 03:50:01.000000 UTC,41.885753285,-87.626996239,"(41.885753285, -87.626996239)"
11909376,JC532403,2019-12-02 09:25:00.000000 UTC,0000X E WACKER DR,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,HOTEL/MOTEL,false,false,111,1,42,32,03,1177009.0,1902589.0,2019,2019-12-09 03:41:28.000000 UTC,41.888045958,-87.625413826,"(41.888045958, -87.625413826)"
11989276,JD161587,2020-02-21 09:30:00.000000 UTC,001XX N MICHIGAN AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,OTHER,false,false,111,1,42,32,03,1177286.0,1901176.0,2020,2020-02-28 03:41:24.000000 UTC,41.884162337,-87.624439467,"(41.884162337, -87.624439467)"
11469374,JB453674,2018-09-27 08:11:00.000000 UTC,001XX N MICHIGAN AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,RESTAURANT,false,false,111,1,42,32,03,1177270.0,1901551.0,2018,2018-10-11 03:57:17.000000 UTC,41.885191719,-87.624486846,"(41.885191719, -87.624486846)"
10092683,HY280969,2015-05-30 12:30:00.000000 UTC,0000X E WACKER DR,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,111,1,42,32,03,1176933.0,1902486.0,2015,2018-02-10 03:50:01.000000 UTC,41.887765041,-87.625696039,"(41.887765041, -87.625696039)"
5681389,HN491361,2007-07-27 12:05:00.000000 UTC,006XX W LAKE ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,111,1,27,28,03,1171728.0,1901690.0,2007,2018-02-28 03:56:25.000000 UTC,41.88569696,-87.644833747,"(41.88569696, -87.644833747)"
6751993,HR169396,2009-02-13 11:59:00.000000 UTC,005XX W WASHINGTON BLVD,031A,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,false,false,111,1,42,28,03,1172571.0,1900778.0,2009,2018-02-28 03:56:25.000000 UTC,41.883175772,-87.641765096,"(41.883175772, -87.641765096)"
3352320,HK396112,2004-05-29 03:55:00.000000 UTC,001XX N FRANKLIN ST,0320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,42,32,03,1174297.0,1901591.0,2004,2018-02-28 03:56:25.000000 UTC,41.885368351,-87.635402906,"(41.885368351, -87.635402906)"
8863543,HV537312,2012-10-27 01:30:00.000000 UTC,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,111,1,42,32,03,1176330.0,1901649.0,2012,2018-02-10 03:50:01.000000 UTC,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
1415786,G134440,2001-03-08 04:47:54.000000 UTC,001XX S JEFFERSON ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,false,false,111,1,,,03,1172317.0,1899480.0,2001,2015-08-17 03:03:40.000000 UTC,41.879619588,-87.642736145,"(41.879619588, -87.642736145)"
6574723,HP646561,2008-10-25 02:29:18.000000 UTC,004XX W MADISON ST,0320,ROBBERY,STRONGARM - NO WEAPON,ATM (AUTOMATIC TELLER MACHINE),false,false,111,1,42,28,03,1173275.0,1900314.0,2008,2018-02-28 03:56:25.000000 UTC,41.88188693,-87.639193772,"(41.88188693, -87.639193772)"
11981719,JD152502,2020-02-15 07:35:00.000000 UTC,003XX N WABASH AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,false,false,111,1,42,32,03,1176757.0,1902162.0,2020,2020-03-18 03:40:21.000000 UTC,41.886879948,-87.626352163,"(41.886879948, -87.626352163)"
3033136,HJ743211,2003-11-06 05:05:53.000000 UTC,002XX S DESPLAINES ST,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,false,false,111,1,2,28,03,1171964.0,1899288.0,2003,2018-02-28 03:56:25.000000 UTC,41.879100515,-87.644037961,"(41.879100515, -87.644037961)"
10473616,HZ212836,2016-04-04 11:40:00.000000 UTC,001XX N WABASH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,false,false,111,1,42,32,03,1176791.0,1901351.0,2016,2018-02-10 03:50:01.000000 UTC,41.884653752,-87.626251847,"(41.884653752, -87.626251847)"
11338872,JB295081,2018-06-03 04:00:00.000000 UTC,003XX N MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,false,false,111,1,42,32,03,1177246.0,1902333.0,2018,2018-06-10 03:50:33.000000 UTC,41.887338112,-87.624551258,"(41.887338112, -87.624551258)"
8643543,HV318671,2012-06-04 06:26:00.000000 UTC,0000X E RANDOLPH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,111,1,42,32,03,1176974.0,1901296.0,2012,2016-02-04 06:33:39.000000 UTC,41.88449869,-87.625581518,"(41.88449869, -87.625581518)"
8750184,HV425192,2012-08-09 11:30:00.000000 UTC,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,false,false,111,1,42,32,03,1176329.0,1901689.0,2012,2018-02-10 03:50:01.000000 UTC,41.885591676,-87.627938154,"(41.885591676, -87.627938154)"
4828788,HM438040,2006-06-26 11:30:00.000000 UTC,0000X N WACKER DR,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,111,1,42,32,03,1173928.0,1900646.0,2006,2018-02-10 03:50:01.000000 UTC,41.88278344,-87.636786095,"(41.88278344, -87.636786095)"
5986810,HN782904,2007-12-28 01:30:00.000000 UTC,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,111,1,2,28,03,,,2007,2015-08-17 03:03:40.000000 UTC,,,
8801162,HV474642,2012-09-13 07:35:00.000000 UTC,002XX N CLARK ST,0331,ROBBERY,ATTEMPT: AGGRAVATED,RESTAURANT,true,false,111,1,42,32,03,1175500.0,1901787.0,2012,2018-02-10 03:50:01.000000 UTC,41.885879253,-87.630979425,"(41.885879253, -87.630979425)"
11987056,JD141110,2020-02-05 02:45:00.000000 UTC,0000X W WACKER DR,0334,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,false,false,111,1,42,32,03,1175590.0,1902172.0,2020,2020-03-27 03:41:53.000000 UTC,41.886933692,-87.630637353,"(41.886933692, -87.630637353)"
10573791,HZ321459,2016-06-24 12:45:00.000000 UTC,001XX N WABASH AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,RESTAURANT,false,false,111,1,42,32,03,1176798.0,1901032.0,2016,2018-02-10 03:50:01.000000 UTC,41.883778241,-87.626235794,"(41.883778241, -87.626235794)"
13169481,JG375343,2023-08-09 03:04:00.000000 UTC,001XX N WABASH AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,false,false,111,1,42,32,04B,1176791.0,1901351.0,2023,2023-08-19 03:40:26.000000 UTC,41.884653752,-87.626251847,"(41.884653752, -87.626251847)"
4416834,HL703398,2005-10-29 04:00:00.000000 UTC,007XX W JACKSON BLVD,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,111,1,2,28,04B,1171878.0,1898880.0,2005,2018-02-28 03:56:25.000000 UTC,41.87798283,-87.644365761,"(41.87798283, -87.644365761)"
4822372,HM432637,2006-06-23 01:15:00.000000 UTC,006XX W ADAMS ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,111,1,2,28,04B,1172262.0,1899353.0,2006,2018-02-28 03:56:25.000000 UTC,41.879272306,-87.642941847,"(41.879272306, -87.642941847)"
12804505,JF369175,2022-08-09 05:00:00.000000 UTC,0000X W RIVERWALK S,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,OTHER (SPECIFY),false,false,111,1,42,32,04B,1176161.0,1902223.0,2022,2023-01-03 03:40:27.000000 UTC,41.887060789,-87.62853897,"(41.887060789, -87.62853897)"
12984493,JG153730,2023-02-15 01:12:00.000000 UTC,001XX N DEARBORN ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,false,111,1,42,32,04B,1175922.0,1901213.0,2023,2023-08-19 03:40:26.000000 UTC,41.884294676,-87.629447058,"(41.884294676, -87.629447058)"
7771912,HS580157,2010-10-24 11:50:00.000000 UTC,002XX S CANAL ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,true,false,111,1,2,28,04B,1173177.0,1899236.0,2010,2018-02-10 03:50:01.000000 UTC,41.878931004,-87.639585621,"(41.878931004, -87.639585621)"
9338539,HW482810,2013-10-07 04:40:00.000000 UTC,0000X E LOWER WACKER DR,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,STREET,false,false,111,1,42,32,08B,1176864.0,1902481.0,2013,2018-02-10 03:50:01.000000 UTC,41.887752882,-87.625949578,"(41.887752882, -87.625949578)"
13213218,JG427419,2023-09-17 02:34:00.000000 UTC,002XX N WABASH AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,true,false,111,1,42,32,08B,1176773.0,1901888.0,2023,2023-10-06 03:42:06.000000 UTC,41.886127716,-87.626301698,"(41.886127716, -87.626301698)"
4980625,HM592134,2006-09-09 11:20:00.000000 UTC,006XX W RANDOLPH ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,111,1,42,28,08B,1172180.0,1901233.0,2006,2018-02-28 03:56:25.000000 UTC,41.884432959,-87.643187422,"(41.884432959, -87.643187422)"
13321971,JG556741,2023-12-27 05:30:00.000000 UTC,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1177246.0,1902333.0,2023,2024-01-04 03:41:15.000000 UTC,41.887338112,-87.624551258,"(41.887338112, -87.624551258)"
6291175,HP379884,2008-06-06 09:09:22.000000 UTC,005XX W MADISON ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,28,08B,1173039.0,1900311.0,2008,2018-02-28 03:56:25.000000 UTC,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
7219450,HR634605,2009-11-09 03:18:00.000000 UTC,001XX S JEFFERSON ST,0460,BATTERY,SIMPLE,CLEANING STORE,false,false,111,1,2,28,08B,1172352.0,1899646.0,2009,2018-02-28 03:56:25.000000 UTC,41.88007433,-87.642602726,"(41.88007433, -87.642602726)"
4467146,HL756837,2005-11-26 04:50:00.000000 UTC,006XX W MADISON ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,111,1,42,28,08B,1172090.0,1900283.0,2005,2018-02-28 03:56:25.000000 UTC,41.881828083,-87.643545951,"(41.881828083, -87.643545951)"
12312296,JE164997,2021-03-10 02:39:00.000000 UTC,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,false,false,111,1,42,32,08B,1176904.0,1901295.0,2021,2021-03-17 03:40:10.000000 UTC,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
12495942,JE390022,2021-09-27 04:30:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,STREET,false,false,111,1,42,32,08B,1176345.0,1901126.0,2021,2021-10-04 03:41:45.000000 UTC,41.884046412,-87.627896395,"(41.884046412, -87.627896395)"
12577162,JE488945,2021-12-25 11:07:00.000000 UTC,0000X E WACKER DR,0460,BATTERY,SIMPLE,HOTEL / MOTEL,false,false,111,1,42,32,08B,1177009.0,1902589.0,2021,2022-01-01 03:40:59.000000 UTC,41.888045958,-87.625413826,"(41.888045958, -87.625413826)"
12460458,JE346760,2021-08-23 03:26:00.000000 UTC,0000X E WACKER DR,0460,BATTERY,SIMPLE,STREET,true,false,111,1,42,32,08B,1176585.0,1902271.0,2021,2021-08-30 03:39:57.000000 UTC,41.887182937,-87.626980491,"(41.887182937, -87.626980491)"
12482408,JE372359,2021-09-13 06:03:00.000000 UTC,0000X E WACKER DR,0460,BATTERY,SIMPLE,STREET,false,false,111,1,42,32,08B,1176621.0,1902155.0,2021,2021-09-20 03:47:39.000000 UTC,41.886863814,-87.626851797,"(41.886863814, -87.626851797)"
10222883,HY409661,2015-09-04 03:05:00.000000 UTC,001XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1177270.0,1901551.0,2015,2018-02-10 03:50:01.000000 UTC,41.885191719,-87.624486846,"(41.885191719, -87.624486846)"
10881573,JA190832,2017-03-17 07:30:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,DRUG STORE,true,false,111,1,42,32,08B,1176338.0,1901346.0,2017,2018-02-10 03:50:01.000000 UTC,41.884650262,-87.627915459,"(41.884650262, -87.627915459)"
9200275,HW345540,2013-07-02 09:08:00.000000 UTC,001XX N WABASH AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,111,1,42,32,08B,1176799.0,1901023.0,2013,2018-02-10 03:50:01.000000 UTC,41.883753521,-87.626232394,"(41.883753521, -87.626232394)"
11618379,JC179883,2019-03-10 12:15:00.000000 UTC,002XX N STATE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,111,1,42,32,08B,1176327.0,1901797.0,2019,2019-03-17 04:11:52.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
11874802,JC489461,2019-10-28 12:00:00.000000 UTC,0000X E WACKER DR,0460,BATTERY,SIMPLE,STREET,true,false,111,1,42,32,08B,1176971.0,1902537.0,2019,2019-11-04 03:51:52.000000 UTC,41.887904127,-87.625554948,"(41.887904127, -87.625554948)"
10238378,HY426170,2015-09-16 07:15:00.000000 UTC,0000X W WACKER DR,0460,BATTERY,SIMPLE,TAXICAB,false,false,111,1,42,32,08B,1175996.0,1902175.0,2015,2018-02-10 03:50:01.000000 UTC,41.886932792,-87.629146336,"(41.886932792, -87.629146336)"
11183084,JA556486,2017-12-20 09:11:00.000000 UTC,002XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,111,1,42,32,08B,1176327.0,1901797.0,2017,2018-05-04 03:51:04.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
11202083,JB112388,2018-01-11 10:37:00.000000 UTC,0000X E WACKER DR,0460,BATTERY,SIMPLE,HOTEL/MOTEL,false,false,111,1,42,32,08B,1176956.0,1902517.0,2018,2018-05-04 03:51:04.000000 UTC,41.887849586,-87.625610638,"(41.887849586, -87.625610638)"
11386638,JB353859,2018-07-17 04:52:00.000000 UTC,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,ATHLETIC CLUB,false,false,111,1,42,32,08B,1177246.0,1902367.0,2018,2018-07-25 03:53:11.000000 UTC,41.88743141,-87.624550227,"(41.88743141, -87.624550227)"
6818251,HR223222,2009-03-18 09:00:00.000000 UTC,006XX W MADISON ST,0460,BATTERY,SIMPLE,RESIDENCE-GARAGE,false,false,111,1,2,28,08B,1171840.0,1900276.0,2009,2018-02-28 03:56:25.000000 UTC,41.881814385,-87.644464145,"(41.881814385, -87.644464145)"
7632703,HS436340,2010-07-29 08:50:00.000000 UTC,002XX S RIVERSIDE PLZ,0460,BATTERY,SIMPLE,OTHER,false,false,111,1,2,28,08B,1173462.0,1899266.0,2010,2018-02-10 03:50:01.000000 UTC,41.879006999,-87.638538271,"(41.879006999, -87.638538271)"
11843521,JC451512,2019-09-28 08:35:00.000000 UTC,0000X E LAKE ST,0460,BATTERY,SIMPLE,CONVENIENCE STORE,false,false,111,1,42,32,08B,1176905.0,1901744.0,2019,2019-10-05 03:41:07.000000 UTC,41.885729587,-87.625821329,"(41.885729587, -87.625821329)"
12811944,JF377765,2022-08-31 02:40:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,SCHOOL - PRIVATE BUILDING,false,false,111,1,42,32,08B,1176336.0,1901423.0,2022,2023-01-03 03:40:27.000000 UTC,41.8848616,-87.627920479,"(41.8848616, -87.627920479)"
12881713,JF460944,2022-11-03 03:40:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,111,1,42,32,08B,1176352.0,1900918.0,2022,2023-01-03 03:40:27.000000 UTC,41.883475491,-87.627876969,"(41.883475491, -87.627876969)"
3790596,HL156253,2005-02-01 01:20:00.000000 UTC,003XX S LOWER WACKER DR,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",true,false,111,1,2,32,08B,1173921.0,1898783.0,2005,2018-02-28 03:56:25.000000 UTC,41.877671408,-87.636867314,"(41.877671408, -87.636867314)"
2903381,HJ572174,2003-08-19 09:10:00.000000 UTC,002XX S CANAL ST,0460,BATTERY,SIMPLE,STREET,false,false,111,1,2,28,08B,1173177.0,1899260.0,2003,2018-02-28 03:56:25.000000 UTC,41.878996861,-87.639584908,"(41.878996861, -87.639584908)"
11497103,JB502506,2018-11-03 09:50:00.000000 UTC,0000X W WASHINGTON ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1175800.0,1900817.0,2018,2018-11-10 04:10:46.000000 UTC,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
11484685,JB477376,2018-10-16 08:20:00.000000 UTC,001XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1177276.0,1901405.0,2018,2018-10-31 04:10:57.000000 UTC,41.884790951,-87.624469241,"(41.884790951, -87.624469241)"
8579629,HV253788,2012-04-22 09:20:00.000000 UTC,002XX N WABASH AVE,0460,BATTERY,SIMPLE,STREET,false,false,111,1,42,32,08B,1176768.0,1902008.0,2012,2016-02-04 06:33:39.000000 UTC,41.886457116,-87.626316428,"(41.886457116, -87.626316428)"
9675096,HX325125,2014-06-30 12:15:00.000000 UTC,0000X W RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,true,false,111,1,42,32,08B,1175717.0,1901279.0,2014,2018-02-10 03:50:01.000000 UTC,41.884480395,-87.630197849,"(41.884480395, -87.630197849)"
12079986,JD266254,2020-06-16 06:11:00.000000 UTC,0000X E LAKE ST,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,111,1,42,32,08B,1176905.0,1901744.0,2020,2020-06-23 03:41:32.000000 UTC,41.885729587,-87.625821329,"(41.885729587, -87.625821329)"
12338056,JE196616,2021-04-11 07:54:00.000000 UTC,001XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,111,1,42,32,08B,1177272.0,1901493.0,2021,2021-04-18 03:41:10.000000 UTC,41.885032519,-87.624481261,"(41.885032519, -87.624481261)"
12845773,JF418360,2022-10-01 02:30:00.000000 UTC,002XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,111,1,42,32,08B,1176327.0,1901797.0,2022,2023-01-03 03:40:27.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
13202943,JG415076,2023-09-03 01:30:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,111,1,34,32,08B,1176345.0,1901126.0,2023,2023-09-11 03:41:54.000000 UTC,41.884046412,-87.627896395,"(41.884046412, -87.627896395)"
